ID,Name,Description (Short),Name (Chinese),Description (Chinese Short)
volttackle,Volt Tackle,Has 33% recoil. 10% chance to paralyze target.,伏特攻击,让电流覆盖全身猛撞向对手。自己也会受到1/3的伤害。10%几率让对手陷入麻痹状态。
wakeupslap,Wake-Up Slap,"Power doubles if target is asleep, and wakes it.",唤醒巴掌,给予睡眠状态下的对手较大的伤害。但相反对手会从睡眠中醒过来。
waterfall,Waterfall,20% chance to flinch the target.,攀瀑,以惊人的气势扑向对手。20%几率使对手畏缩。
watergun,Water Gun,No additional effect.,水枪,向对手猛烈地喷射水流进行攻击。
waterpledge,Water Pledge,Use with Grass or Fire Pledge for added effect.,水之誓约,用水柱进行攻击。如果和草之誓约或火之誓约组合，效果更佳。
waterpulse,Water Pulse,20% chance to confuse the target.,水之波动,用水的震动攻击对手。20%几率使对手混乱。
watershuriken,Water Shuriken,Usually goes first. Hits 2-5 times in one turn.,飞水手里剑,用粘液制成的手里剑，连续攻击２～５次。必定能够先制攻击。
watersport,Water Sport,"For 5 turns, Fire-type attacks have 1/3 power.",玩水,用水湿透周围。在５回合内减弱火属性的招式。
waterspout,Water Spout,Less power as user's HP decreases. Hits foe(s).,喷水,掀起潮水进行攻击。自己的ＨＰ越少，招式的威力越小。
weatherball,Weather Ball,Power doubles and type varies in each weather.,气象球,根据使用时的天气，招式属性和威力会改变。
whirlpool,Whirlpool,Traps and damages the target for 4-5 turns.,潮旋,将对手困在激烈的水流旋涡中，在４～５回合内进行攻击。
whirlwind,Whirlwind,Forces the target to switch to a random ally.,吹飞,吹飞对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。
wickedblow,Wicked Blow,Always results in a critical hit.,暗冥强击,将恶之流派修炼至大成的猛烈一击。必定会击中要害。
wideguard,Wide Guard,Protects allies from multi-target moves this turn.,广域防守,在１回合内防住击打我方全员的攻击。
wildcharge,Wild Charge,Has 1/4 recoil.,疯狂伏特,让电流覆盖全身撞向对手进行攻击。自己也会受到1/4的伤害。
willowisp,Will-O-Wisp,Burns the target.,鬼火,放出怪异的火焰，从而让对手陷入灼伤状态。
wingattack,Wing Attack,No additional effect.,翅膀攻击,大大地展开美丽的翅膀，将其撞向对手进行攻击。
wish,Wish,"Next turn, 50% of the user's max HP is restored.",祈愿,在下一回合回复自己或是替换出场的宝可梦最大ＨＰ的一半。
withdraw,Withdraw,Raises the user's Defense by 1.,缩入壳中,缩入壳里保护身体，从而提高自己的防御1级。
wonderroom,Wonder Room,"For 5 turns, all Defense and Sp. Def stats switch.",奇妙空间,制造出离奇的空间。在５回合内互换所有宝可梦的防御和特防。
woodhammer,Wood Hammer,Has 33% recoil.,木槌,用坚硬的躯体撞击对手进行攻击。自己也会受到1/3的伤害。
workup,Work Up,Raises the user's Attack and Sp. Atk by 1.,自我激励,激励自己，从而提高攻击和特攻各1级。
worryseed,Worry Seed,The target's Ability becomes Insomnia.,烦恼种子,种植心神不宁的种子。使对手不能入眠，并将特性变成不眠。
wrap,Wrap,Traps and damages the target for 4-5 turns.,紧束,使用长长的身体或藤蔓等，在４～５回合内紧束对手进行攻击。
wringout,Wring Out,More power the more HP the target has left.,绞紧,用力勒紧对手进行攻击。对手的ＨＰ越多，威力越大。
xscissor,X-Scissor,No additional effect.,十字剪,将镰刀或爪子像剪刀般地交叉，顺势劈开对手。
yawn,Yawn,Puts the target to sleep after 1 turn.,哈欠,打个大哈欠引起瞌睡。在下一回合让对手陷入睡眠状态。
zapcannon,Zap Cannon,100% chance to paralyze the target.,电磁炮,发射大炮一样的电流进行攻击。100%几率让对手陷入麻痹状态。
zenheadbutt,Zen Headbutt,20% chance to flinch the target.,意念头锤,将思念的力量集中在前额进行攻击。20%几率使对手畏缩。
zingzap,Zing Zap,30% chance to flinch the target.,麻麻刺刺,撞向对手，并发出强电，使其感到麻麻刺刺的。30%几率使对手畏缩。
zippyzap,Zippy Zap,Goes first. Raises user's evasion by 1.,电电加速,迅猛无比的电击。必定能够先制攻击，必定会击中对方的要害。
hiddenpowerbug,Hidden Power Bug,,觉醒力量（虫）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerdark,Hidden Power Dark,,觉醒力量（暗影）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerdragon,Hidden Power Dragon,,觉醒力量（龙）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerelectric,Hidden Power Electric,,觉醒力量（电）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerfighting,Hidden Power Fighting,,觉醒力量（格斗）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerfire,Hidden Power Fire,,觉醒力量（火）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerflying,Hidden Power Flying,,觉醒力量（飞）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerghost,Hidden Power Ghost,,觉醒力量（幽灵）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowergrass,Hidden Power Grass,,觉醒力量（草）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerground,Hidden Power Ground,,觉醒力量（地）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerice,Hidden Power Ice,,觉醒力量（冰）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerpoison,Hidden Power Poison,,觉醒力量（毒）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerpsychic,Hidden Power Psychic,,觉醒力量（超能）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerrock,Hidden Power Rock,,觉醒力量（岩石）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowersteel,Hidden Power Steel,,觉醒力量（钢）,招式的属性会随着使用此招式的宝可梦而改变。
hiddenpowerwater,Hidden Power Water,,觉醒力量（水）,招式的属性会随着使用此招式的宝可梦而改变。
magikarpsrevenge,Magikarp's Revenge,Does many things turn 1. Can't move turn 2.,鲤鱼王的复仇,第1回合做很多事情，第2回合不能行动。
