craftyshield,Crafty Shield,Protects allies from Status moves this turn.,戏法防守,使己方场地进入戏法防守状态，直到这回合结束之前，保护我方全场宝可梦不受到变化招式影响。,Truco Defensa,Evita todo efecto de movimientos del rival para él y sus aliados. Su precisión se reduce con cada uso consecutivo. No evita movimientos de daño directo.
crosschop,Cross Chop,High critical hit ratio.,十字劈,攻击目标造成伤害。击中要害率比普通招式高1级。,Tajo Cruzado,Alta probabilidad de Golpe Crítico.
crosspoison,Cross Poison,High critical hit ratio. 10% chance to poison.,十字毒刃,攻击目标造成伤害。击中要害率比正常高出1级，并10%的几率使目标陷入中毒状态。,Veneno X,10% de envenenar al rival. Alta probabilidad de Golpe Crítico.
crunch,Crunch,20% chance to lower the target's Defense by 1.,咬碎,攻击目标造成伤害。20%几率令目标的防御降低1级。,Triturar,20% de reducir un nivel la Defensa al rival.
crushclaw,Crush Claw,50% chance to lower the target's Defense by 1.,撕裂爪,攻击目标造成伤害。50%几率令目标的防御降低1级。,Garra Brutal,50% de reducir un nivel la Defensa al rival.
crushgrip,Crush Grip,More power the more HP the target has left.,捏碎,对手的ＨＰ越多，威力越大。,Agarrón,El poder del movimiento es mayor cuanto más PS le quede al rival. El poder base será: 1 + (PS Actual Rival / PS Máximo Rival) x 120 (máx. 121).
curse,Curse,"Curses if Ghost, else -1 Spe, +1 Atk, +1 Def.",诅咒,自身带有幽灵属性时，使用者减少最大ＨＰ的1⁄2，使目标进入诅咒状态。自身ＨＰ不满最大ＨＰ的1⁄2时仍可使用，使用后自身陷入濒死状态。处于该状态的宝可梦每回合结束时损失最大ＨＰ的1⁄4，离场后状态消失。自身不带有幽灵属性时，令使用者的速度降低1级，攻击、防御提升1级。,Maldición,"Aumenta un nivel el Ataque y la Defensa y reduce un nivel la Velocidad al usuario. Usado por un Fantasma, pierde 50% de PS máx. y el rival pierde un 25% de PS cada turno."
cut,Cut,No additional effect.,居合斩,攻击目标造成伤害。,Corte,Ninguno.
darkestlariat,Darkest Lariat,Ignores the target's stat stage changes.,ＤＤ金勾臂,攻击目标造成伤害。并无视目标能力的变化。,Lariat Oscuro,Ignora los modificadores de stats del Pokémon objetivo.
darkpulse,Dark Pulse,20% chance to flinch the target.,恶之波动,攻击目标造成伤害。有20%的几率使目标陷入畏缩状态。,Pulso Umbrío,20% de hacer retroceder al rival.
darkvoid,Dark Void,Darkrai: Causes the foe(s) to fall asleep.,暗黑洞,使目标陷入睡眠状态。,Brecha Negra,Provoca Sueño.
dazzlinggleam,Dazzling Gleam,No additional effect. Hits adjacent foes.,魔法闪耀,攻击目标造成伤害。,Brillo Mágico,Ninguno.
decorate,Decorate,Raises the target's Attack and Sp. Atk by 2.,装饰,令目标的攻击、特攻各提升2级。,Decorate,Raises the target's Attack and Sp. Atk by 2.
defendorder,Defend Order,Raises the user's Defense and Sp. Def by 1.,防御指令,令使用者的防御、特防各提升1级。,A Defender,Aumenta un nivel la Defensa y la Defensa Especial al usuario.
defensecurl,Defense Curl,Raises the user's Defense by 1.,变圆,令使用者的防御提升1级。,Rizo Defensa,Aumenta un nivel la Defensa al usuario. Duplica el poder base de Desenrollar y Bola Hielo.
defog,Defog,-1 evasion; clears terrain and hazards on both sides.,清除浓雾,令目标的闪避率降低1级。清除场上的的反射壁或光墙等。,Despejar,"Reduce un nivel la Evasión al rival. Elimina Reflejo, Pantalla de Luz, Velo Sagrado, Neblina, Púas, Púas Tóxicas y Trampa Rocas en el campo del Pokémon objetivo (compañero o rival)."
destinybond,Destiny Bond,"If an opponent knocks out the user, it also faints.",同命,使出招式后，当受到对手攻击陷入濒死时，对手也会一同濒死。连续使出则会失败。,Mismo Destino,"Si el usuario cae debilitado por un ataque del rival antes de usar otro ataque, el Pokémon rival cae también debilitado."
detect,Detect,Prevents moves from affecting the user this turn.,看穿,完全抵挡对手的攻击。连续使出则容易失败。,Detección,Evita todo daño directo y efectos de movimientos del rival. Su precisión se reduce con cada uso consecutivo.
devastatingdrake,Devastating Drake,Power is equal to the base move's Z-Power.,究极巨龙震天地,通过Ｚ力量将气场实体化，向对手全力发动袭击。威力会根据原来的招式而改变。,Dracoaliento Devastador,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
diamondstorm,Diamond Storm,50% chance to raise user's Def by 2 for each hit.,钻石风暴,攻击目标造成伤害。50%几率令使用者的防御提升2级。,Torm. Diamantes,50% de aumentar dos niveles la Defensa al usuario.
dig,Dig,"Digs underground turn 1, strikes turn 2.",挖洞,第１回合钻入地底，第２回合攻击对手。,Excavar,"Precisa un turno de preparación bajo tierra, en que sólo puede ser golpeado por Terremoto y Magnitud, con el doble de poder base."
disable,Disable,"For 4 turns, disables the target's last move used.",定身法,阻碍对手行动，之前使出的招式将在４回合内无法使用。,Anulación,El Pokémon rival no puede usar el último movimiento que ha usado de 4 a 7 turnos.
disarmingvoice,Disarming Voice,This move does not check accuracy. Hits foes.,魅惑之声,攻击目标造成伤害。魅惑之声一定会命中，除非目标正在使用蓄力的招式并不在场地上。,Voz Cautivadora,Siempre golpea.
discharge,Discharge,30% chance to paralyze adjacent Pokemon.,放电,攻击目标造成伤害。放电有30%的几率使目标陷入麻痹状态。,Chispazo,30% de paralizar al rival.
dive,Dive,"Dives underwater turn 1, strikes turn 2.",潜水,第１回合潜入，第２回合浮上来进行攻击。,Buceo,"Precisa un turno de preparación bajo el agua, en que sólo puede ser golpeado por Surf y Torbellino, con el doble de poder base."
dizzypunch,Dizzy Punch,20% chance to confuse the target.,迷昏拳,攻击目标造成伤害。迷昏拳有20%的几率使目标陷入混乱状态。,Puño Mareo,20% de confundir al rival.
doomdesire,Doom Desire,Hits two turns after being used.,破灭之愿,使用招式２回合后，会用无数道光束攻击对手。,Deseo Oculto,"Este ataque golpeará al objetivo al final del segundo turno tras su uso. Mientras, se pueden usar otros ataques y tanto el usuario como el rival pueden ser intercambiados."
doubleedge,Double-Edge,Has 33% recoil.,舍身冲撞,攻击目标造成伤害。使用者承受对目标造成伤害的1⁄3的伤害。,Doble Filo,Provoca un daño de retroceso al usuario equivalente al 33% del daño provocado al rival.
doublehit,Double Hit,Hits 2 times in one turn.,二连击,攻击目标造成伤害，一回合内连续攻击2次。,Doble Golpe,Golpea 2 veces seguidas.
doubleironbash,Double Iron Bash,Hits twice. 30% chance to flinch.,钢拳双击,连续攻击对手两次。钢拳双击有30%的几率使目标陷入畏缩状态。,Ferropuño Doble,50% de intoxicar al rival.
doublekick,Double Kick,Hits 2 times in one turn.,二连踢,攻击目标造成伤害，一回合内连续攻击2次。,Doble Patada,Golpea 2 veces seguidas.
doubleslap,Double Slap,Hits 2-5 times in one turn.,连环巴掌,攻击目标造成伤害，一回合内连续攻击2～5次。,Doble Bofetón,Golpea de 2 a 5 veces seguidas.
doubleteam,Double Team,Raises the user's evasiveness by 1.,影子分身,令使用者的闪避率提升1级。,Doble Equipo,Aumenta un nivel la Evasión al usuario.
dracometeor,Draco Meteor,Lowers the user's Sp. Atk by 2.,流星群,攻击目标造成伤害。令使用者的特攻降低2级。,Cometa Draco,100% de reducir dos niveles el Ataque Especial al usuario.
dragonascent,Dragon Ascent,Lowers the user's Defense and Sp. Def by 1.,画龙点睛,攻击目标造成伤害。令使用者的防御、特防各降低1级。,Ascenso Draco,Baja un nivel la Defensa y la Defensa Especial al usuario.
dragonbreath,Dragon Breath,30% chance to paralyze the target.,龙息,攻击目标造成伤害。并有30%的几率使目标陷入麻痹状态。,Dragoaliento,30% de paralizar al rival.
dragonclaw,Dragon Claw,No additional effect.,龙爪,攻击目标造成伤害。,Garra Dragón,Ninguno.
dragondance,Dragon Dance,Raises the user's Attack and Speed by 1.,龙之舞,令使用者的攻击、速度各提升1级。,Danza Dragón,Aumenta un nivel el Ataque y la Velocidad al usuario.
dragondarts,Dragon Darts,Hits twice. Doubles: Tries to hit each foe once.,龙箭,进行２次攻击。如果对手有２只宝可梦，则对它们各进行１次攻击。,Dragon Darts,Hits twice. Doubles: Tries to hit each foe once.
dragonenergy,Dragon Energy,Less power as user's HP decreases. Hits foe(s).,巨龙威能,攻击目标造成伤害。威力随自身剩余ＨＰ减少而减少。,Dragon Energy,Less power as user's HP decreases. Hits foe(s).
dragonhammer,Dragon Hammer,No additional effect.,龙锤,攻击目标造成伤害。,Martillo Dragón,Ninguno.
dragonpulse,Dragon Pulse,No additional effect.,龙之波动,攻击目标造成伤害。,Pulso Dragón,Ninguno.
dragonrage,Dragon Rage,Deals 40 HP of damage to the target.,龙之怒,固定造成40点ＨＰ伤害。,Furia Dragón,Causa un daño de 40 PS al Pokémon rival.
dragonrush,Dragon Rush,20% chance to flinch the target.,龙之俯冲,攻击目标造成伤害。并有20%的几率使目标陷入畏缩状态。,Carga Dragón,20% de hacer retroceder al rival. Golpea a Pokémon que han usado Reducción con el doble de poder base e ignorando su Evasión.
dragontail,Dragon Tail,Forces the target to switch to a random ally.,龙尾,强制使队伍中下一只没有陷入濒死状态的宝可梦替换上场。,Cola Dragón,Provoca el intercambio del Pokémon objetivo por el siguiente de su equipo en orden. Termina las batallas contra Pokémon salvajes.
drainingkiss,Draining Kiss,User recovers 75% of the damage dealt.,吸取之吻,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的75%。,Beso Drenaje,El usuario recupera PS equivalente al 75% del daño causado.
drainpunch,Drain Punch,User recovers 50% of the damage dealt.,吸取拳,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的50%。,Puño Drenaje,El usuario recupera PS equivalente a la mitad del daño causado.
dreameater,Dream Eater,User gains 1/2 HP inflicted. Sleeping target only.,食梦,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的50%。,Come Sueños,Restaura PS equivalente a la mitad del daño hecho al rival. Surte efectos sólo si el objetivo está dormido.
drillpeck,Drill Peck,No additional effect.,啄钻,攻击目标造成伤害。,Pico Taladro,Ninguno.
drillrun,Drill Run,High critical hit ratio.,直冲钻,攻击目标造成伤害。击中要害率比普通招式高1级。,Taladradora,Alta probabilidad de Golpe Crítico.
drumbeating,Drum Beating,100% chance to lower the target's Speed by 1.,鼓击,攻击目标造成伤害。100%几率令目标的速度降低1级。,Drum Beating,100% chance to lower the target's Speed by 1.
dualchop,Dual Chop,Hits 2 times in one turn.,二连劈,攻击目标造成伤害，一回合内连续攻击2次。,Golpe Bis,Golpea 2 veces seguidas.
dualwingbeat,Dual Wingbeat,Hits 2 times in one turn.,双翼,攻击目标造成伤害，一回合内连续攻击2次。,Dual Wingbeat,Hits 2 times in one turn.
dynamaxcannon,Dynamax Cannon,Damage doubles if the target is Dynamaxed.,极巨炮,从核心放出光束进行攻击。如果对手正处于极巨化状态，则造成的伤害会变为２倍。,Dynamax Cannon,Damage doubles if the target is Dynamaxed.
dynamicpunch,Dynamic Punch,100% chance to confuse the target.,爆裂拳,使出浑身力气出拳进行攻击。必定会使对手混乱。,Puño Dinámico,100% de confundir al rival.
earthpower,Earth Power,10% chance to lower the target's Sp. Def by 1.,大地之力,向对手脚下释放出大地之力。10%降低对手的特防1级。,Tierra Viva,10% de reducir un nivel la Defensa Especial al rival.
earthquake,Earthquake,Hits adjacent Pokemon. Double damage on Dig.,地震,利用地震的冲击，攻击自己周围所有的宝可梦。,Terremoto,El daño es doble si golpea a un Pokémon en mitad de una excavación.
echoedvoice,Echoed Voice,Power increases when used on consecutive turns.,回声,用回声攻击对手。如果每回合都有宝可梦接着使用该招式，威力就会提高。,Eco Voz,"El poder base del movimiento aumenta si es usado de manera consecutiva. Cada uso adicional incrementa en 40 el poder base, máximo 200."
eerieimpulse,Eerie Impulse,Lowers the target's Sp. Atk by 2.,怪异电波,从身体放射出怪异电波，让对手沐浴其中，100%的几率令目标特攻降低2级。,Onda Anómala,Baja dos niveles el Ataque Especial al rival.
eeriespell,Eerie Spell,Removes 3 PP from the target's last move.,诡异咒语,用强大的精神力量攻击。让对手最后使用的招式减少3PP。,Eerie Spell,Removes 3 PP from the target's last move.
eggbomb,Egg Bomb,No additional effect.,炸蛋,向对手用力投掷大大的蛋进行攻击。,Bomba Huevo,Ninguno.
electricterrain,Electric Terrain,"5 turns. Grounded: +Electric power, can't sleep.",电气场地,在５回合内变成电气场地。地面上的宝可梦将无法睡眠。电属性的招式威力提升30%。,Campo Eléctrico,Crea un campo eléctrico durante 5 turnos. Los Pokémon en el suelo no pueden ser dormidos.
electrify,Electrify,Changes the target's move to Electric this turn.,输电,对手使出招式前，使目标进入输电状态，将目标接下来使用的招式变成电属性。,Electrificación,"Si el Pokémon objetivo aún no ha realizado su movimiento en el mismo turno, dicho movimiento se vuelve de tipo Eléctrico."
